_active,_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
True,hr1-116,2019-01-03 00:01:00,"To expand Americans' access to the ballot box, reduce the influence of big money in politics, and strengthen ethics rules for public servants, and for other purposes.",True,False,116,For the People Act of 2019,Government Operations and Politics,hr
False,hr3-116,2019-01-19 00:09:00,"To establish a fair price negotiation program, protect the Medicare program from excessive price increases, and establish an out-of-pocket maximum for Medicare part D enrollees, and for other purposes.",False,False,116,Lower Drug Costs Now Act of 2019,Health,hr
True,hr4-116,2019-01-26 00:02:00,"To amend the Voting Rights Act of 1965 to revise the criteria for determining which States and political subdivisions are subject to section 4 of the Act, and for other purposes.",False,False,116,Voting Rights Advancement Act of 2019,Government Operations and Politics,hr
True,hr5-116,2019-01-13 00:03:00,"To prohibit discrimination on the basis of sex, gender identity, and sexual orientation, and for other purposes.",True,False,116,Equality Act,"Civil Rights and Liberties, Minority Issues",hr
True,hr6-116,2019-01-12 00:03:00,"To authorize the cancellation of removal and adjustment of status of certain aliens, and for other purposes.",True,False,116,American Dream and Promise Act of 2019,Immigration,hr
True,hr7-116,2019-01-30 00:01:00,"To amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.",True,False,116,Paycheck Fairness Act,Labor and Employment,hr
True,hr8-116,2019-01-08 00:01:00,To require a background check for every firearm sale.,True,False,116,Bipartisan Background Checks Act of 2019,Crime and Law Enforcement,hr
True,hr9-116,2019-01-27 00:03:00,"To direct the President to develop a plan for the United States to meet its nationally determined contribution under the Paris Agreement, and for other purposes.",True,False,116,Climate Action Now Act,Environmental Protection,hr
True,hr20-116,2019-01-17 00:01:00,To prohibit taxpayer funded abortions.,False,False,116,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2019,Health,hr
True,hr21-116,2019-01-03 00:01:00,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes.",True,False,116,"Consolidated Appropriations Act, 2019",Economics and Public Finance,hr
False,hr22-116,2019-01-03 00:01:00,"To amend the Internal Revenue Code of 1986 to make permanent the increase in the standard deduction, the increase in and modifications of the child tax credit, and the repeal of the deduction for personal exemptions contained in Public Law 115-97.",False,False,116,"To amend the Internal Revenue Code of 1986 to make permanent the increase in the standard deduction, the increase in and modifications of the child tax credit, and the repeal of the deduction for personal exemptions contained in Public Law 115-97.",Taxation,hr
False,hr23-116,2019-01-03 00:01:00,"To eliminate the sunset date for the Veterans Choice Program of the Department of Veterans Affairs, to expand eligibility for such program, and to extend certain operating hours for pharmacies and medical facilities of the Department, and for other purposes.",False,False,116,Care Veterans Deserve Act of 2019,Armed Forces and National Security,hr
False,hr24-116,2019-01-03 00:01:00,"To require a full audit of the Board of Governors of the Federal Reserve System and the Federal reserve banks by the Comptroller General of the United States, and for other purposes.",False,False,116,Federal Reserve Transparency Act of 2019,Finance and Financial Sector,hr
False,hr25-116,2019-01-03 00:01:00,"To promote freedom, fairness, and economic opportunity by repealing the income tax and other taxes, abolishing the Internal Revenue Service, and enacting a national sales tax to be administered primarily by the States.",False,False,116,FairTax Act of 2019,Taxation,hr
False,hr26-116,2019-01-03 00:01:00,"To prohibit the pay of Members of Congress during periods in which a Government shutdown is in effect, and for other purposes.",False,False,116,"No Work, No Pay Act of 2019",Congress,hr
False,hr27-116,2019-01-03 00:01:00,"To amend the Balanced Budget and Emergency Deficit Control Act of 1985 to eliminate automatic increases for inflation from CBO baseline projections for discretionary appropriations, and for other purposes.",False,False,116,Zero-Baseline Budget Act of 2019,Economics and Public Finance,hr
False,hr28-116,2019-01-03 00:01:00,To prohibit United States assistance to foreign countries that oppose the position of the United States in the United Nations.,False,False,116,United Nations Voting Accountability Act of 2019,International Affairs,hr
True,hr29-116,2019-01-03 00:01:00,"To exempt from the Lacey Act and the Lacey Act Amendments of 1981 certain water transfers between any of the States of Texas, Arkansas, and Louisiana.",False,False,116,Public Water Supply Invasive Species Compliance Act of 2019,Environmental Protection,hr
False,hr30-116,2019-01-03 00:01:00,To amend the Endangered Species Act of 1973 to provide that nonnative species in the United States shall not be treated as endangered species or threatened species for purposes of that Act.,False,False,116,SAVES Act,Environmental Protection,hr
True,hr31-116,2019-01-03 00:01:00,"To require certain additional actions in connection with the national emergency with respect to Syria, and for other purposes.",True,False,116,Caesar Syria Civilian Protection Act of 2019,International Affairs,hr
False,hr32-116,2019-01-03 00:01:00,To allow the Secretary of the Treasury to accept public donations to fund the construction of a barrier on the border between the United States and Mexico and for other purposes.,False,False,116,"Buy a Brick, Build the Wall Act of 2019",Immigration,hr
False,hr33-116,2019-01-03 00:01:00,To increase public safety by punishing and deterring firearms trafficking.,False,False,116,Gun Trafficking Prohibition Act,Crime and Law Enforcement,hr
True,hr34-116,2019-01-03 00:01:00,"To ensure consideration of water intensity in the Department of Energy's energy research, development, and demonstration programs to help guarantee efficient, reliable, and sustainable delivery of energy and clean water resources.",True,False,116,Energy and Water Research Integration Act of 2019,Water Resources Development,hr
True,hr35-116,2019-01-03 00:01:00,"To amend section 249 of title 18, United States Code, to specify lynching as a hate crime act.",False,False,116,Emmett Till Antilynching Act,Crime and Law Enforcement,hr
